manual_keep_qian_0_1,manual_exclusion_reason,manual_product_or_process,manual_company_is_actor_0_1,manual_event_date_verified_0_1,manual_confidence_1_3,manual_notes,review_id,qian_auto_label,qian_auto_keep_candidate,qian_evidence_score,auto_exclusion_hint,in_v23_upstream_first,v23_upstream_supplier_links,v23_upstream_ar0_valid_rows,has_supplier_link,supplier_linked_unique_suppliers,supplier_linked_return_rows,event_id,focal_code,company_name,event_date,event_year,source_type,title,answer_terms,question_terms,has_strict_genai_company_text,has_strict_genai_question_text,question_only_trigger,negative_no_current_flag,boilerplate_attention_flag,positive_initiative_action_flag,product_or_workflow_flag,deployment_or_contract_flag,partner_or_customer_flag,numeric_or_timeline_flag,genai_context,question_text,source_url,local_text_file
,,,,,,,QIAN00017,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00047_002354_20230201,002354,天娱数科,2023-02-01,2023,csmar_investor_interaction,,AIGC,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,尊敬的投资者您好，依托元享平台，公司制作的虚拟数字人可在各类活动中担任虚拟主播、AI讲师、AI客服等工作。 公司制作的虚拟数字人在语音交互功能中应用了基于AIGC技术的NLP问答技术。 “MetaSurfing-元享智能云平台”未来不仅要实现关键词生成图片、声音、图像、文本、音乐等简单的内容，同时还要完成智脑化的组合应用，通过关键词、描述生成可直接应用的3D模型资产、短视频、CG动画、直播等多类型的视觉/听觉/应用三位一体的高效内容输出，以“你说1我做1”为起点向“你说1我做N”为目标，彻彻底底的解决了内容编撰、资产,您好，董秘，请问公司在人工智能（AI）和语音技术上面有什么具体业务和核心优势，有什么长远规划吗？ || ChatGPT技术目前处于什么阶段中？,,
,,,,,,,QIAN00018,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00053_002642_20230201,002642,荣联科技,2023-02-01,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,您好，感谢您的关注。 公司是专业数字化服务提供商，具备整合内外部资源和技术为客户提供专业化解决方案的优势，对于ChatGPT这一类新技术、新应用的发展会给予高度的关注。 || 您好，感谢您的关注。,请问贵公司有关ChatGPT方面的业务和研发。 || 您好！请问贵公司在和chatGPT密切相关的领域，例如自然语言处理（NLP）和机器学习等人工智能是否已经有布局？麻烦尽快介绍一下，谢谢！ || 您好，贵公司有无涉及chatGPT的业务？,,
,,,,,,,QIAN00019,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00054_002654_20230201,002654,万润科技,2023-02-01,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,0,0,0,1,根据公司《2022-2025年战略规划》，公司将大力发展以半导体电子产业为核心的新一代信息技术“主产业”，致力于成为在新一代信息技术领域具有行业影响力的科技型创新型上市公司。 公司正在密切关注chatgpt的发展。 感谢您对公司的关注！,公司是否涉及 chatgpt 业务？请简单说明,,
,,,,,,,QIAN00020,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00055_002657_20230201,002657,中科金财,2023-02-01,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,您好，感谢您对中科金财的关注。 ChatGPT作为NLP（自然语言识别）最新的模型，在算法上的重大突破带来NLP能力的提升，将有望进一步拓展AI技术的应用。 公司密切关注并跟进元宇宙最新发展趋势。 公司发布了中科金财“元宇宙技术服务矩阵”，其中，公司基于WEB3. 0规则架构，研发了数字人内容制作引擎、元宇宙场景开发工具，并通过 AIGC的企业级内容互动创作平台，实现与中科金财元宇宙数字化营销平台“觅际”融合。 ChatGPT及NLP能力的发展，将加速AIGC技术的发展。 谢谢。,您好！请问贵公司是否已经布局AIGC相关的技术或者业务？都和哪些公司进行了合作？麻烦介绍一下，谢谢！ || 董秘您好，请问公司是否涉及聊天机器人或ChatGpt等相关技术应用，能否简单介绍一下，谢谢。,,
,,,,,,,QIAN00021,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00057_300071_20230201,300071,福石控股,2023-02-01,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,0,0,尊敬的投资者您好，公司主营业务不包含ChatGPT产品。 感谢您的关注，祝您工作生活愉快！ || 尊敬的投资者您好，公司定增正在进行中，关于股东人数的查询请您准备相关股东身份材料并拨打投资者热线。 公司主营业务中不包含chatGPT的产品。 公司未收到相关股东关于增持计划的变更说明。,请问贵司在ChatGPT方面有哪些重大突破？公司在治理方面的努力投资者是有目共睹的，希望公司再接再厉，在新的一年里朝着辉煌的方向迈进。 || 尊敬的董秘，您好！有几个问题想请您回答一下\n1.请问贵公司的定增进度如何了？\n2.贵公司截止到2022年12月31日股东人数是多少？\n3.请问贵公司是否与chatGPT有相关联系？\n4.贵公司互动增持计划剩余两,,
,,,,,,,QIAN00022,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00061_300113_20230201,300113,顺网科技,2023-02-01,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT;多模态,ChatGPT;GPT,1,1,0,0,0,1,1,1,0,0,尊敬的投资者，您好。 数字人“晓竞”是公司面向电竞酒店打造的交互型数字主理人，通过数字人及AI技术在音频采集处理、语音唤醒算法、自然语言算法、3D模型驱动、3D渲染优化、AIGC等领域的技术应用，“晓竞”融合了音频、文本、图像等多模态信息，不仅能够实现与数字人本身实时交流并提供高质量场景化服务，同时也能为电竞酒店生产多源异构内容，丰富营销手段，助力商家降本增收。 目前ChatGPT技术暂未应用于数字人“晓竞”，后续公司将结合自身业务情况，密切关注相关技术的应用发展。 感谢您对公司的关注。,尊敬的董秘您好，请问贵公司发布的数字人“晓竞”是否与ChatGPT有关？，此外公司在人工智能NLP自然语言处理、语义理解和智能对话方面是否有相关研究或布局？ || 尊敬的董秘您好，请问公司是否有ChatGPT方面的研究或应用？ || 你好，请问关于ChatGPT的的领域公司有这方面的技术应用么？,,
,,,,,,,QIAN00023,keep_candidate_strong_specific_initiative,1,5,,0,0,0,0,0,0,CSMAR00063_300182_20230201,300182,捷成股份,2023-02-01,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,AIGC;GPT,1,1,0,0,0,1,1,1,1,0,您好，公司参股子公司世优科技数字人已经接入chatGPT，正在通过数字人自身的人设背景等相关数据集，并基于OpenAI来训练这个数字人专有大脑形成个性化模型。 未来世优科技的AI数字人除了将拥有chatGPT的超强“AI大脑”通用能力外，特定数字人还将具备个性化独有的人设背景表达能力。 感谢关注。 || 您好，公司参股子公司世优科技数字人已经接入chatGPT，正在通过数字人自身的人设背景等相关数据集，并基于OpenAI来训练这个数字人专有大脑形成个性化模型。 未来世优科技的AI数字人除了将拥有chatGPT的超强“AI,请问子公司世优科技是否有chapGPT相关的应用？ || 您好董秘，AIGC是下一个科技革命时代的开端，微软将向OpenAI投资百亿美元。请问公司在AIGC业务方面，讲如何与世优科技协同发展？谢谢！ || 贵司在AIGC方面有什么布局,,
,,,,,,,QIAN00024,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00076_301085_20230201,301085,亚康股份,2023-02-01,2023,csmar_investor_interaction,,AIGC,AIGC,1,1,0,0,0,1,1,0,1,0,尊敬的投资者，您好。 AIGC技术即人工智能内容自动生成技术，为提高算力基础设施服务的运维效率和满足客户需求，公司的研发和技术部门储备了AIGC相应人才和技术。 感谢您的关注。,您好！请问公司有AIGC技术吗？,,
,,,,,,,QIAN00025,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00079_301316_20230201,301316,慧博云通,2023-02-01,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,尊敬的投资者您好！ 慧博云通公司目前没有进行chatGPT相关的底层神经网络算法的技术研发。 公司的业务模式为基于各大厂商的神经网络算法技术，提供下游人工智能产品及解决方案的开发及实施，如招股书中披露，在自然语言处理领域，公司为客户提供人工智能应用集成服务产品包括在线智能机器客服、智能文字/语音问答系统、智能音箱等。,董秘你好，百度将在不久推出ChatGpt请问公司有应用在这方面的技术吗？,,
,,,,,,,QIAN00026,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00082_688207_20230201,688207,,2023-02-01,2023,csmar_ir_meeting_qa,,大模型,,1,0,0,0,0,1,1,0,1,0,公司同时也认为对应用场景和客户需求有深度认知至关重要。 公司既会坚持自研的理念，持续提升计算机视觉算法大模型和相应产品的应用效果和性价比，在合适的时机也会在AI其他领域与产业链伙伴进行合作，开展多领域关键技术融合创新，共同推动AI产业发展。 || 公司打造了底层AI技术平台——深瞳大脑，深瞳大脑包含数据平台和训练平台，数据平台构建了自动化处理为主、人工标注,底层自建产品或基于开源模型打造的产品，哪种方式壁垒更高，竞争优势更强？哪种会成为未来主流？ || 公司目前有没有跟一些国内技术比较好的一些公司有些合作的？目前的合作主要是在哪些？聚焦在哪些领域？,,
,,,,,,,QIAN00027,review_possible_specific_initiative,1,3,,0,0,0,0,0,0,CSMAR00088_000681_20230202,000681,视觉中国,2023-02-02,2023,csmar_investor_interaction,,AIGC;多模态;预训练模型,,1,0,0,0,0,1,1,0,0,0,您好，近期，随着生成算法、预训练模型、多模态技术等AI技术的突破性发展，AI技术进入AIGC时代，AI技术完成了从感知、理解世界到生成、创造世界的跃迁。 从内容生产来说，AIGC 将是 Web3 时代全新的内容生成工具，是继PGC、UGC之后，全新的内容生产方式，革命性地提升了内容生产效率，极大降低内容生产和交互的门槛和成本，将深度赋能包括内容行业在内的各行各业的高质量发展。 \n 公司一直以来依托大数据、人工智能、区块链、云计算等互联网技术，通过“优质内容+创新科技”，为全球范围内“视觉内容”的创作者和使用者提供高效,董秘您好！贵公司在人机交互、人工智能方面有何技术积累？能否运用人工智能进行内容生产呢？在文字、图片、视频、音乐等方面可否由人工智能代替完成？,,
,,,,,,,QIAN00028,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00091_002117_20230202,002117,东港股份,2023-02-02,2023,csmar_investor_interaction,,AIGC;GPT,AIGC;ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,尊敬的投资者，您好! \n我司已基于OpenAI GPT-3展开研究，考虑在已有业务的“数据分析、自动回答”方面进行尝试。 \n感谢您对我公司的关注。 || 尊敬的投资者，您好! \n我公司目前尚未涉及AIGC相关技术。,请问，我司有没有chatgpt相关技术应用在电子发票或者vr，相关领域 || 公司是否有AIGC技术研究 || 公司有chatgpt 方面相关技术吗？,,
,,,,,,,QIAN00029,keep_candidate_strong_specific_initiative,1,5,,0,0,0,0,0,0,CSMAR00092_002123_20230202,002123,,2023-02-02,2023,csmar_ir_meeting_qa,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,1,公司作为5G富媒体消息业务的头部企业，基于NLP，结合云识图、语音识别等技术，以chatbot为载体，打造了一站式、智能化的5G消息便捷服务，具备完整技术能力，拥有自主知识产权，已经有结合企业客户需求和个人用户交互习惯的智能机器人应用场景落地。 在chatbot机器人方面，与国外火热的chatGpt相对仅仅是技术实现方案差异，本质是一样的，我们也同步研究模块化的集成方式，可实现客户已有机器人业务快速导入，实现资源共享。,chatbot聊天机器人和最近国外爆火的chatGpt有很多相似的地方，贵公司有没有把自身技术扩大应用的发展方向？,,
,,,,,,,QIAN00030,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00095_002197_20230202,002197,证通电子,2023-02-02,2023,csmar_investor_interaction,,ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,公司垂直布局云服务产业链，深耕智慧城市、智慧园区系列产品研发，基于公司自研AI训导一体化能力和产品应用场景，积累了丰富的场景化的深度学习、图像分析技术、自然语言处理、语音识别等人工智能技术和模型。 同时，公司积极关注ChatGPT的能力和生态，基于应用场景在智能客服、政策推荐、人才匹配等场景不断深化模型研究，把握市场新的发展机遇，推动公司主业做强做精，以更好的业绩来回报投资者。 感谢您对公司的关注与支持！,董秘，你好，贵公司具备超强智能问答知识库以及智能语意理解能力，于ChatGPT对话式Al模型，所涉及的技术以及人工智能生成内容方向，是否类似。贵公司有没有往该技术方面发展一下的想法。云计算在数字经济发展中起着基础性作用，贵公司云计算以及IDC 业务占比较重，是否会考虑业务进一步扩大。 || 公司的智能客服解决方案，通过引入聊天机器人，结合人工智能的自然语言处,,
,,,,,,,QIAN00031,keep_candidate_strong_specific_initiative,1,4,,0,0,0,0,0,0,CSMAR00096_002229_20230202,002229,鸿博股份,2023-02-02,2023,csmar_investor_interaction,,AIGC;ChatGPT;GPT,ChatGPT;GPT,1,1,0,0,0,1,1,0,1,0,尊敬的投资者，您好。 Chatgpt 和AIGC 作为人工智能的重要发展方向，在公司发展的范围之内，也有相关产品在研发阶段中。 具体情况以后续公司公告为准。 英博数科由鸿博股份与英伟达及中关村中恒文化科技创新服务联盟共同协议发起的北京AI创新赋能中心的唯一指定运营主体。 根据协议内容，英伟达将在英博数科有具体产品开发需求时提供包括但不限于NLP、AIGC等相关技术支持。 目前相关创新产品正处于沟通研发阶段。,公司是否涉及 chatgpt 业务？ || 请问董秘，贵公司与英伟达合作的NLP项目英博数科，对NLP项目如何布局？ || 董秘你好！公司和英伟达协议成立的英博数科，在AI方面有哪些进展？NLP技术，chatGPT方面有哪些合作？,,
