qian_auto_label,event_date,focal_code,company_name,source_type,title,genai_context,question_text
exclude_generic_or_legacy_ai_only,2023-02-09,300213,佳讯飞鸿,csmar_investor_interaction,,您好，感谢您的关注。公司综合运用人工智能、大数据、云计算等新ICT技术，充分结合行业客户需求，为行业的数字化转型和智慧化建设提供了领先的解决方案。相关成果已经在交通、海关等领域应用。在人工智能技术领域，公司已经完成智能视觉PaaS平台（“飞鸿安视平台”）的研发，通过业务系统与视觉服务分离，能够实现业务系统的快速AI赋能。平台基于海量的铁路视频数据，提供了大量的铁路专业预训练模型，同时具备模型算法能力扩展，业务适应性更强。目前，已实现在铁路和海关场景的商业化应用。\n公司的智能巡检机器人基于智能视觉、多传感器融合及物,在人工智能领域有何技术储备？
exclude_generic_or_legacy_ai_only,2023-02-13,300213,佳讯飞鸿,csmar_investor_interaction,,您好，感谢您的关注。公司持续专注于IT和CT技术的融合、AI、人工智能、5G等在交通、国防、海关等领域的行业应用研究。公司已经完成智能视觉PaaS平台（“飞鸿安视平台”）的研发，通过业务系统与视觉服务分离，能够实现业务系统的快速AI赋能。平台基于海量的铁路视频数据，提供了大量的铁路专业预训练模型，同时具备模型算法能力扩展，业务适应性更强。目前，已实现在铁路和海关场景的商业化应用。公司的营业线作业安全智能视觉监测系统基于飞鸿安视平台研发，面向提升铁路营业线作业人员的安全防护能力，支持接入各类视频（视频监控、布控球、执,贵公司在AI技术的应用主要在那些场景？未来会往那些场景扩展？谢谢！
exclude_generic_or_legacy_ai_only,2023-02-17,002236,,csmar_ir_meeting_qa,,"“巨灵”人工智能开放平台是由公司自研、业内领先的一站式AI开发平台,能够让不具备专业编程能力的客户通过可视化的模块拖拽,实现基于少量代码、甚至无代码的应用开发,让客户部署专属于自身的定制算法。“巨灵”实际上本身是公司自研自用的AI开发平台,支撑公司每年超500个的AI算法开发需求。通过该平台,算法工程师研发算法的周期平均减少40%以上,最快约两周定制出面向场景应用可交付的算法,几小时就能完成几十个芯片平台的算法工程化部署。而后“巨灵”平台从公司生产流程内部,走向各行各业不懂AI算法开发的需求者的计算机桌面。公司作为",公司是否有AI开发工具帮助客户进行高效自主开发？
exclude_generic_or_legacy_ai_only,2023-03-27,300525,博思软件,csmar_investor_interaction,,投资者您好，公司一直关注、跟踪人工智能技术发展，Maas、MLOps等暂无这方面的实际应用。,"您好董秘，请问是否学习过MaaS,MLOps方面的知识 ，公司是否有这2项科技的储备或者实际应用？"
exclude_generic_or_legacy_ai_only,2023-04-01,002717,岭南股份,csmar_investor_interaction,,尊敬的投资者，您好。MaaS是人工智能领域下的一种全新商业模式，是云计算云服务的未来，它将推动云计算行业向着更加智能化、个性化和定制化的方向发展。公司密切关注人工智能领域技术的发展，已与腾讯已建立战略合作关系，未来围绕数字虚拟人、云计算、大数据等领域展开合作。感谢您对公司的关注。,贵司有涉及maas领域的技术与业务吗？是否与腾讯展开maas领域的合作？
exclude_no_strict_genai,2023-02-20,688326,经纬恒润,csmar_investor_interaction,,（1）公司将持续推进先进驾驶员辅助系统、智能驾驶域控制器、远程通讯控制器等智能驾驶、智能网联电子产品开发；通过智驾域、车身域和动力底盘域提高公司整体的复杂硬件和复杂软件的开发和交付能力；积极响应法规政策号召，加强智能网联产品网络安全与数据安全能力建设，推进下一代OTA平台以及信息安全检测及防御技术开发技术研发。（2）公司坚持发展“专业聚焦”、“技术领先”和“平台化发展”的战略，致力于成为国际一流综合型的电子系统科技服务商、智能网联汽车全栈式解决方案供应商和高级别智能驾驶MaaS解决方案领导者，谢谢。,请问贵公司的主力产品是什么？下一步的发展方向是什么？谢谢
exclude_no_strict_genai,2023-03-03,688326,经纬恒润,csmar_investor_interaction,,您好，公司致力于成为国际一流综合型的电子系统科技服务商、智能网联汽车全栈式解决方案供应商和高级别智能驾驶MaaS解决方案领导者，核心竞争力包括三位一体的业务布局、卓越的组织能力和人才优势、突出的综合实力和完备的过程体系等。公司所处的行业内，电子产品业务的主要企业包括博世、大陆、安波福、德赛西威、华阳集团等，研发服务及解决方案业务的主要企业包括维克多集团、ETAS、伊莱比特、中科创达等，高级别智能驾驶整体解决方案业务的主要企业包括Waymo、Zoox、小马智行、图森未来、主线科技等。国内同行业的可比上市公司包括德赛西,您好，请问国内和国外与贵公司对标的企业有哪些？公司的核心竞争力是什么？贵公司的前景展望？
exclude_no_strict_genai,2023-05-18,300826,,csmar_ir_meeting_qa,,客户之前的需求是“我有什么？”，本质上是调查类的数据积累和基础数据成果；现在的需求是“我能干什么？”，本质上是对数据价值发挥的需求。以政府、国企等为代表的客户目前对结合前期积累的大量数据如何建立专业模型，如何优化应急预案，如何细化预案层级等需求更加迫切。而能满足此类需求特征的企业目前并不多，公司的优势恰好体现于此。首先，公司多年以来积累的大量历史数据成为公司进行专业模型模拟提供了最丰富和最精准的“投放养料”。客户需要的不是机理性的基础模型，而是针对不同专业的数据驱动型模型，投放的数据“养料”不同会导致形成不同的专业,公司数智化发展的方向是哪些？客户的延展需求多吗？公司有哪些优势？在现有优势基础上开拓的方向有哪些？
exclude_no_strict_genai,2023-09-19,603390,,csmar_ir_meeting_qa,,公司就商用车领域业务布局方向为“车路场云”，具体包括：（1）在车端，公司的智能车载设备，可以采集、分析车辆的实时数据，如公司新能源远程监控终端能够将车辆运行数据和位置信息的实时监控、监管；（2）在路端，公司研发的电子站牌作为智慧站台的一种形式，能够显示实时车辆位置信息、进行多媒体信息发布；（3）在场端，公司开发了充电桩运营管理平台，为场站管理方提供不同类型充电桩管理、资源规划、结算清分等SaaS服务；（4）云端围绕数据挖掘、分析、展示及信息存储，提供以SaaS公交云脑、MaaS出行服务为中心的智慧交通管理云平台的N,公司目前在“车路云一体化”示范应用方面有哪些布局？
exclude_no_strict_genai,2023-09-21,300826,,csmar_ir_meeting_qa,,经细致调研和与客户深度沟通，公司发现客户对产品需求的递进表现为对存量、增量数据价值发挥的需求。以政府、国企等为代表的客户目前对结合前期积累的大量数据如何建立专业模型，如何优化应急预案，如何细化预案层级等需求更加迫切。而能满足此类需求特征的企业目前并不多，公司的优势恰好体现于此。首先，公司对多年来积累的大量历史数据和增量数据进行深度挖掘、分析，用真实发生的事实型、事件型数据作为公司专业模型模拟的最精准“投放养料”，培养能够模拟真实环境的专业模型。据调研，客户需要的不是机理性的基础模型，而是针对不同专业的数据驱动型模型,在数智化道路上公司和竞争对手有什么竞争优势？
exclude_question_only_trigger,2023-02-17,688232,新点软件,csmar_investor_interaction,,投资者您好，公司在人工智能、预训练模型、自然语言处理、区块链、大数据等方面均有一定的技术储备，主要运用于政务热线智能分析、智能客服、智能辅助评标、OCR、智能审批、智能组价、政务数据共享、电子证照、业务协同等行业应用场景的性能提升，助力建设全国政务服务“一张网”，加快推进政府数字化转型，实现政府治理能力的有效提升。感谢您的关注。,请问贵公司是否有涉及AIGC，ChatGBT，数字经济/数据要素/数据确权，web3.0中某一项或几项的技术或业务？能详细展开介绍一下吗？
exclude_question_only_trigger,2023-04-07,300612,宣亚国际,csmar_investor_interaction,,尊敬的投资者您好，感谢您对公司的关注。公司暂未涉及MaaS（Model as a Service）相关业务。公司提醒广大投资者防范概念炒作，注意投资风险。,董秘您好，麻烦介绍一下贵公司的ai大模型？另外，公司有MAAS模型及服务的相关业务吗？
exclude_question_only_trigger,2023-05-12,300678,,csmar_ir_meeting_qa,,公司牵头与中科曙光、中科微等单位联合研发《新一代人工智能技术集成及应用示范（AI创天府）》项目，包括面向多模态边缘云计算平台、面向深度学习专用算法平台、高适应性智能无人巡逻车系统、5G云化基站研制、智能远程诊疗与医疗设备安全监控五个子项目。拟达到的目标是面向多模态边缘云计算平台，形成人工智能算法应用平台协同工作架构；面向深度学习专用算法平台，集成人工智能训练系统，实现自定义场景的AI应用；面向智慧城市社区等领域的智能终端，实现资源的弹性伸缩和动态调度、可扩展、可级联的边缘和云边计算；面向新基建、智慧城市和区域数据中,AI创天府项目是什么？ || 在大模型方面，公司与中科院自动化所、“紫东太初”大模型是否有合作？未来是否有合作的打算？
exclude_question_only_trigger,2023-05-24,688004,,csmar_ir_meeting_qa,,公司积极关注人工智能领域的发展，在人工智能方向保持持续的研发投入和业务场景开拓，与多家公司有相关技术合作。同时，公司在内容安全方面也做了诸多储备：在技术方面，持续开展人工智能技术的探索和应用，自主研发了文字、图片、语音、视频多模态识别引擎，以此为基础构建了“慧视”AI基础能力平台，并取得了相关技术专利和软著证书。公司的视听内容篡改检测系统获得“2021年CCBN产品创新杰出奖”，媒资视频内容AI算法模型在2022年“首届新视听媒体融合创新创意大赛”中获得优胜奖。在产品方面，公司以人工智能多模态识别引擎为支撑，针对广,AIGC人工智能模型在全球掀起了一轮热潮，继ChatGPT发布后，国内知名大厂百度、腾讯、阿里等也发布了对标ChatGPT的人工智能模型，贵司作为内容安全方面的龙头企业，请问贵司有没有与以上公司展开合作？贵司自己有没有相关的储备用于内容安全方面？ || 公司在大数据领域取得了哪些成就？未来有什么规划？
exclude_question_only_trigger,2023-07-17,300182,捷成股份,csmar_investor_interaction,,您好，公司目前暂未与MaaS平台“火山方舟”合作，感谢关注。,您好！字节跳动发布大模型MaaS平台“火山方舟”，并向模型应用方提供模型训练、推理、评测、精调等功能与服务。请问贵公司在抖音大模型MaaS平台“火山方舟”的相关技术领域是否有合作？
keep_candidate_strong_specific_initiative,2023-01-04,300520,科大国创,csmar_investor_interaction,,您好，感谢关注。 公司自主研发的智能外呼机器人系统，采用纯软架构设计，基于AIGC技术，结合业务话术以及知识计算，进行语义理解与意图识别，智能自动生成交互内容。 机器人使用电话渠道自动呼叫指定客户，智能语音自动应答沟通，实现企业通知类、回访类、营销类等业务智能化开展，助力企业数智化转型。,贵司在人机交互领域有智能机器人外呼系统，该系统是否使用了AIGC技术？谢谢。
keep_candidate_strong_specific_initiative,2023-01-11,002230,科大讯飞,csmar_investor_interaction,,您好，讯飞语音合成、虚拟人相关技术等都属于AIGC，同时讯飞也积极布局基于预训练模型的文图生成、对话生成等技术方向，相关技术均达到业界领先水平，并通过AI虚拟人交互平台在媒体、金融、教育、文旅等领域赋能内容生产创作和业务服务。 同时自动化的内容生成，将会为未来元宇宙的海量内容生产做好技术基础。 ChatGPT主要涉及到自然语言处理相关技术，属于认知智能领域的应用之一。 科大讯飞主导承建了认知智能国家重点实验室，在认知智能领域重点技术和以教育、医疗为代表的重大行业应用落地效果整体处于业界领先水平，例如，科大讯飞于2022年,您好！现在AIGC赛道这么火，科大讯飞在NLP领域是否有新的突破，怎么看科大讯飞的语义技术能力与现在全球关注度很高，热议的chatGPT？
keep_candidate_strong_specific_initiative,2023-01-13,300133,华策影视,csmar_investor_interaction,,您好，AIGC新技术正在不断赋能文化产业，促使文化产业业态的创新力度不断加强。 公司也在密切关注新技术对影视剧创作的辅助作用和在行业的应用，目前公司一些项目上有合作的美术老师在尝试使用AIGC。 谢谢。 || 您好，AIGC新技术正在不断赋能文化产业，促使文化产业业态的创新力度不断加强。 公司也在密切关注新技术对影视剧,董秘你好，请问公司在内容二次创作上是否应用了aigc技术生成供应短视频与公司自身主营业务创作 || 董秘你好，请问AIGC技术在剧本创作，影视内容创作，基于内容数据库自动生成新内容，基于素材库，数据库，版权库，生成新素材，新动态视频内容是否可行 || 董秘你好，请问AIGC技术公司是否已应用
keep_candidate_strong_specific_initiative,2023-01-30,688327,云从科技,csmar_investor_interaction;csmar_ir_meeting_qa,,尊敬的投资者，您好！ 随着OpenAI超级对话模型ChatGPT的发布，业界已经广泛感受到预训练大模型给AI行业带来的巨大机会。 首先，ChatGPT将“预训练大模型+下游任务微调”的训练方法发挥到了天花板级的水准，模型效果较过去有了跨越式的进步，作为一个超级对话模型，ChatGPT对用户意图的理解、应答的正确性，异常情况下的反应，体验都显著超出了大家的预期，给AI应用带来新的想象空间； 其次，ChatGPT的跨越式效果提升，主要得益于人机协同，即基于人类反馈的强化学习（RLHF），同时ChatGPT会给未来的人机交互体 || 核心算法方面--长期以来有两个流派：数据派（需要更多的数据来训练更大的模型）与知识派（加入人类知识，通过知识建立规则，向专家系统发展）。 随着Deep Learning的发展，即2006年开始，数据派占优，大量数据会支撑模型优化，在计算机视觉上有突破性进展。 2016年的代表Alpha Go带动资本浪潮，在AlphaGo时代，围棋上的成功并不能带来很大现实应用，而ChatGPT带来的重要推进，是其现实应用更多，类似助理。 （2）ChatGPT使用的模型与2年前发布的GPT3底层数据和参数规模一致，ChatGPT没有进一步,近期，微软追加投资100亿给OpenAI，BuzzFeed因使用ChatGPT大涨超过100%，贵司是否在中国版ChatGPT或大模型方面有技术储备或产品规划？它与人机协同操作系统是否有关联？ || 请分享下AI的发展历程？AI行业发展到现在的ChatGPT与AIGC，整个行业是不是到了高速发展的革命节点？ || 从训练的数据集、模型的体量来看，国内达到ChatGPT，包括模型能力、数据能力以及标注能力，2年之内有没有可能形成对标ChatGTP的类似产品？ || GPT3.0和GPT3.5的差别很大，对于知识点的回应比较全面， GPT3.5距离通用型人工
keep_candidate_strong_specific_initiative,2023-01-31,000810,创维数字,csmar_investor_interaction,,过往公司汽车智能板块与百度在Carlife、地图导航、语音交互等有合作，在人工智能AI领域公司与百度也展开过一系列深度的合作，如推出了搭载百度duerOS远场语音交互系统的创维小度AI盒子等产品，作为智能娱乐中心，融合了智能盒子、音箱、AI智能助手等功能。 公司虚拟现实直播等业务方面，会与AIGC相关机构、平台、内容方等合作，nlp 自然语音处理技术也会考虑与相应第三方达成合作。 感谢您的关注！,尊敬的董秘您好：\n请问公司在人工智能上和百度有没有合作，在aigc 这块有什么布局，另外公司是否有nlp 自然语音处理技术 || 以后的发展中公司有没有可能研发或合作引入chatgpt 这种人工智能，在VR中起到客服 引导的作用，例如在VR发展中作为VR商店的智能客服，VR游戏中的智能NPC，公司的景区视频中的智能讲解员。
review_ambiguous_strict_genai,2023-01-05,002354,天娱数科,csmar_investor_interaction,,尊敬的投资者您好，股价波动属于正常的市场行为，目前公司生产经营活动正常，业务发展稳健向好。2021年公司顺利脱帽，重整后首年实现盈利；2022年公司以创新发展为主题，聚焦数字经济新蓝海，积极培育新的业绩增长点，充分发挥数据、算法、场景等优势，践行“电竞驱动游戏，数据流量驱动实体经济”的发展战略，持续优化现有业务结构，提升业务质量。截止目前，以自有流量分发、精准营销、内容营销为代表的流量业务稳增长，夯实业务基本盘。山西数据流量生态园，入园企业总数累计达到388家，逐步构建起“数据要素+流量变现+场景应用+数据生态”的,请问董秘，时值年底公司股价接连大跌屡创新低，现在三元多，请问公司今年虽然有出了不少概念题材，但不变的是业绩的亏损，投资者损失惨重，公司管理层三年多了，公司依然面临重回St的局面，请问公司真实情况如何，公司还有希望吗，公司的目标和承诺，还有实现的可能吗？
review_ambiguous_strict_genai,2023-01-05,300081,恒信东方,csmar_investor_interaction,,尊敬的投资者您好，手势识别是实现自然人机交互方式的一种方式，而自然交互是提高沉浸感的重要途径之一。该功能首先建立在VR头显设备的硬件及固件支持的基础之上，由厂商开放数据接口，其次才是应用对其的调用逻辑。由于Meta Quest 2、Meta Quest Pro、Pico 4等高保有量VR头显正在开始完善其“裸手”交互生态，而如Nreal等透光型MR头显亦发展迅速，公司决定通过《The Last Dragon》（暂定名）VR游戏的研发，积累对第一人称互动娱乐内容中手势交互逻辑的设计经验。募投项目进展情况请参考公司披露,The Last Dragon游戏的手势识别技术是属于恒信东方研发的还是UE5提供的？公司募投的AI的VR游戏引擎研发是否顺利和符合预期目标？该引擎能否用于公司面向C端的AIGC？谢谢。
review_ambiguous_strict_genai,2023-01-06,300364,中文在线,csmar_investor_interaction,,尊敬的投资者，您好：数字经济是继农业经济、工业经济之后的主要经济形态，国家层面近期多次制定相应政策大力推动我国数字经济发展。公司深耕文化数字产业20余年，公司以内容为基石，积累了海量正版数字内容资源，以文学IP为核心，向下游延伸进行IP培育与衍生开发，通过对优质网文进行音频、中短剧、视频漫剧、动漫、影视以及文创周边等衍生形态的同步开发，打造“网文连载+IP轻衍生同步开发”的创作新模式。在音频领域，子公司鸿达以太是全国最早的有声内容制作公司、有声内容提供商之一，拥有45万小时的音频资源，内容涵盖原创文学、传统文学、影,董秘您好，近期政策、会议都提及发展数字经济，公司有什么相关业务吗？
review_ambiguous_strict_genai,2023-01-30,002230,,csmar_ir_meeting_qa,,2018年起，预训练模型范式就逐步开始在自然语言处理领域应用，包括谷歌、微软、OpenAI、科大讯飞、智源、鹏城等单位陆续推出预训练模型。科大讯飞在预训练模型方面，有坚实的相关技术积累，成为业界最广泛流行的中文预训练模型之一。2017年，科技部正式批复依托科大讯飞建设认知智能国家重点实验室，这也是我国在人工智能高级阶段——认知智能领域的首个国家级重点实验室。2022年在国家重点实验室重组后的首批20个国家标杆实验室中，讯飞是唯一一家承建认知智能全国重点实验室。同时，讯飞面向认知智能领域陆续开源了6大类、超过40个通,讯飞在自然语言理解等认知智能技术中取得了非常好的效果。目前来看，海外已经产生了ChatGPT等一些爆款应用，请问公司是否已经有所布局？ || 公司在智能汽车业务方向的布局和发展情况？ || 公司对汽车出海有怎样的展望？
review_ambiguous_strict_genai,2023-01-31,002354,天娱数科,csmar_investor_interaction,,尊敬的投资者您好，2022年公司净利润不及预期的主要原因是公司在过往几年投资的部分参股公司业绩出现亏损，对公司在权益法核算下确认的投资损益产生较大影响，同时公司对部分参股公司计提长期股权投资减值准备，也对公司的净利润造成了较大影响，若剔除参股公司亏损和长投减值带来的影响，公司经营情况整体趋势向好。公司积极打造业绩增长的第二曲线，打破公司增长的天花板，数字人业务商业化取得了不错的成绩，大年初一晚，天妤亮相陕西卫视“大美中国·多彩丝路”2023丝路春晚，说明天妤的商业价值和传播传统文化的社会价值获得了更多的认可；近日，,业绩预告在预期范围内，减值也是原来的旧包袱，轻装上阵跑得更快，希望公司今年跑出成绩来
review_possible_specific_initiative,2023-01-13,300364,中文在线,csmar_investor_interaction,,尊敬的投资者，您好：公司正发起设立下一代互联网科技发展基金，持续贯彻既定战略，与市场中的各类主体和资源充分合作，在元宇宙领域内的内容、区块链、VR、AR、AIGC等等方向进行布局。,成立中文在线（青岛）科技投资合伙企业（有限合伙），目前有投资什么行业吗？
review_possible_specific_initiative,2023-01-30,002717,岭南股份,csmar_investor_interaction,,尊敬的投资者，您好。 ChatGPT是人机交互技术之一，恒润集团在人机交互方面拥有多项技术储备及成功应用案例，并将持续加大资源投入。 感谢您对公司的关注。 || 尊敬的投资者，您好。,董秘你好，恒润集团在ChatGPT的技术储备如何？ || ChatGPT技术目前恒润集团的发展如何？谢谢
review_possible_specific_initiative,2023-01-31,002467,二六三,csmar_investor_interaction,,您好，我公司制作的虚拟数字人可在各类活动中担任虚拟主持人、AI讲师、AI客服等工作。 公司制作的虚拟数字人在语音交互功能中应用了基于AIGC技术的NLP问答技术。 公司敬请广大投资者注意的是，上述业务尚处于研究和探索阶段，存在较大不确定性。 || 您好，我公司制作的虚拟数字人可在各类活动中担任虚拟主持人、AI讲师、AI客服等工作。 公司敬请广大投资者注意的是，上述业务尚处于研究和探索,贵公司有没有AIGC技术？ || 公司是否有AIGC技术研究 || 请问贵司是否有AIGC技术或ChatGpt相关技术的业务？
review_possible_specific_initiative,2023-01-31,002803,吉宏股份,csmar_investor_interaction,,您好，目前公司在跨境电商板块和SaaS吉喵云的主要业务模块里使用的AIGC技术均为自主研发。 公司负责跨境电商及SaaS平台业务的子公司共计拥有软件著作权超百件，属于技术驱动型企业。 感谢您的关注。 || 您好，目前公司在跨境电商板块和SaaS吉喵云的主要业务模块里均使用AIGC技术，如智能素材、智能广告、智能投放、智能客服等。 公司一直在持续推进数字化战略，持续完善数据中台，以充分挖掘和利用数据价值，并一直致力于AI技术的研发与应用。,你好，请问公司目前在ai智能广告、客服等领域应用的AIGC技术是否公司自主研发？ || 你好，麻烦介绍下公司人工智能领域AIGC应用情况？ || 公司在自然语言识别NLP领域或者chatgpt，有什么技术储备或者业务？
review_possible_specific_initiative,2023-01-31,002858,力盛体育,csmar_investor_interaction,,尊敬的投资者，您好：公司注意到ChatGPT技术近期被热议的现象。 公司密切关注AIGC等新技术应用的发展动态，积极探索其与公司数字体育战略业务布局方向匹配的创新结合。 目前尚未形成具体的业务场景。,您好，贵公司是否有chat GPT等相关技术呢
